,zip_code,city,shipping_zone
0,52760,Huixquilucan,West
1,52760,Huixquilucan,West
2,52760,Huixquilucan,West
3,52760,Huixquilucan,West
4,52760,Huixquilucan,West
5,52760,Huixquilucan,West
6,52760,Huixquilucan,West
7,52760,Huixquilucan,West
8,52760,Huixquilucan,West
9,52763,Huixquilucan,West
10,52763,Huixquilucan,West
11,52763,Huixquilucan,West
12,52764,Huixquilucan,West
13,52764,Huixquilucan,West
14,52765,Huixquilucan,West
15,52765,Huixquilucan,West
16,52765,Huixquilucan,West
17,52765,Huixquilucan,West
18,52766,Huixquilucan,West
19,52766,Huixquilucan,West
20,52766,Huixquilucan,West
21,52766,Huixquilucan,West
22,52767,Huixquilucan,West
23,52767,Huixquilucan,West
24,52767,Huixquilucan,West
25,52768,Huixquilucan,West
26,52769,Huixquilucan,West
27,52769,Huixquilucan,West
28,52769,Huixquilucan,West
29,52770,Huixquilucan,West
30,52770,Huixquilucan,West
31,52773,Huixquilucan,West
32,52773,Huixquilucan,West
33,52773,Huixquilucan,West
34,52773,Huixquilucan,West
35,52773,Huixquilucan,West
36,52773,Huixquilucan,West
37,52773,Huixquilucan,West
38,52774,Huixquilucan,West
39,52774,Huixquilucan,West
40,52774,Huixquilucan,West
41,52775,Huixquilucan,West
42,52775,Huixquilucan,West
43,52776,Huixquilucan,West
44,52776,Huixquilucan,West
45,52777,Huixquilucan,West
46,52777,Huixquilucan,West
47,52777,Huixquilucan,West
48,52778,Huixquilucan,West
49,52778,Huixquilucan,West
50,52779,Huixquilucan,West
51,52779,Huixquilucan,West
52,52779,Huixquilucan,West
53,52779,Huixquilucan,West
54,52780,Huixquilucan,West
55,52780,Huixquilucan,West
56,52783,Huixquilucan,West
57,52783,Huixquilucan,West
58,52784,Huixquilucan,West
59,52784,Huixquilucan,West
60,52784,Huixquilucan,West
61,52784,Huixquilucan,West
62,52785,Huixquilucan,West
63,52785,Huixquilucan,West
64,52785,Huixquilucan,West
65,52785,Huixquilucan,West
66,52786,Huixquilucan,West
67,52786,Huixquilucan,West
68,52786,Huixquilucan,West
69,52787,Huixquilucan,West
70,52787,Huixquilucan,West
71,52787,Huixquilucan,West
72,52787,Huixquilucan,West
73,52787,Huixquilucan,West
74,52787,Huixquilucan,West
75,52788,Huixquilucan,West
76,52788,Huixquilucan,West
77,52788,Huixquilucan,West
78,52788,Huixquilucan,West
79,52789,Huixquilucan,West
80,52789,Huixquilucan,West
81,52790,Huixquilucan,West
82,52790,Huixquilucan,West
83,52793,Huixquilucan,West
84,52793,Huixquilucan,West
85,52793,Huixquilucan,West
86,52793,Huixquilucan,West
87,52794,Huixquilucan,West
88,52794,Huixquilucan,West
89,52794,Huixquilucan,West
90,52795,Huixquilucan,West
91,52795,Huixquilucan,West
92,52796,Huixquilucan,West
93,52797,Huixquilucan,West
94,52798,Huixquilucan,West
95,52798,Huixquilucan,West
96,52799,Huixquilucan,West
97,52799,Huixquilucan,West
98,52799,Huixquilucan,West
99,52799,Huixquilucan,West
100,52799,Huixquilucan,West
101,53000,Naucalpan de Juárez,West
102,53010,Naucalpan de Juárez,West
103,53030,Naucalpan de Juárez,West
104,53040,Naucalpan de Juárez,West
105,53050,Naucalpan de Juárez,West
106,53060,Naucalpan de Juárez,West
107,53070,Naucalpan de Juárez,West
108,53070,Naucalpan de Juárez,West
109,53100,Naucalpan de Juárez,West
110,53100,Naucalpan de Juárez,West
111,53110,Naucalpan de Juárez,West
112,53110,Naucalpan de Juárez,West
113,53110,Naucalpan de Juárez,West
114,53115,Naucalpan de Juárez,West
115,53116,Naucalpan de Juárez,West
116,53117,Naucalpan de Juárez,West
117,53117,Naucalpan de Juárez,West
118,53119,Naucalpan de Juárez,West
119,53120,Naucalpan de Juárez,West
120,53120,Naucalpan de Juárez,West
