,zip_code,city,shipping_zone
0,52760,Huixquilucan,West
1,52763,Huixquilucan,West
2,52764,Huixquilucan,West
3,52765,Huixquilucan,West
4,52766,Huixquilucan,West
5,52767,Huixquilucan,West
6,52768,Huixquilucan,West
7,52769,Huixquilucan,West
8,52770,Huixquilucan,West
9,52773,Huixquilucan,West
10,52774,Huixquilucan,West
11,52775,Huixquilucan,West
12,52776,Huixquilucan,West
13,52777,Huixquilucan,West
14,52778,Huixquilucan,West
15,52779,Huixquilucan,West
16,52780,Huixquilucan,West
17,52783,Huixquilucan,West
18,52784,Huixquilucan,West
19,52785,Huixquilucan,West
20,52786,Huixquilucan,West
21,52787,Huixquilucan,West
22,52788,Huixquilucan,West
23,52789,Huixquilucan,West
24,52790,Huixquilucan,West
25,52793,Huixquilucan,West
26,52794,Huixquilucan,West
27,52795,Huixquilucan,West
28,52796,Huixquilucan,West
29,52797,Huixquilucan,West
30,52798,Huixquilucan,West
31,52799,Huixquilucan,West
32,53000,Naucalpan de Juárez,West
33,53010,Naucalpan de Juárez,West
34,53030,Naucalpan de Juárez,West
35,53040,Naucalpan de Juárez,West
36,53050,Naucalpan de Juárez,West
37,53060,Naucalpan de Juárez,West
38,53070,Naucalpan de Juárez,West
39,53100,Naucalpan de Juárez,West
40,53110,Naucalpan de Juárez,West
41,53115,Naucalpan de Juárez,West
42,53116,Naucalpan de Juárez,West
43,53117,Naucalpan de Juárez,West
44,53119,Naucalpan de Juárez,West
45,53120,Naucalpan de Juárez,West
46,53124,Naucalpan de Juárez,West
47,53125,Naucalpan de Juárez,West
48,53126,Naucalpan de Juárez,West
49,53127,Naucalpan de Juárez,West
50,53128,Naucalpan de Juárez,West
51,53129,Naucalpan de Juárez,West
52,53130,Naucalpan de Juárez,West
53,53138,Naucalpan de Juárez,West
54,53140,Naucalpan de Juárez,West
55,53150,Naucalpan de Juárez,West
56,53160,Naucalpan de Juárez,West
57,53170,Naucalpan de Juárez,West
58,53177,Naucalpan de Juárez,West
59,53178,Naucalpan de Juárez,West
60,53179,Naucalpan de Juárez,West
61,53200,Naucalpan de Juárez,West
62,53215,Naucalpan de Juárez,West
63,53216,Naucalpan de Juárez,West
64,53217,Naucalpan de Juárez,West
65,53218,Naucalpan de Juárez,West
66,53219,Naucalpan de Juárez,West
67,53220,Naucalpan de Juárez,West
68,53224,Naucalpan de Juárez,West
69,53227,Naucalpan de Juárez,West
70,53228,Naucalpan de Juárez,West
71,53229,Naucalpan de Juárez,West
72,53230,Naucalpan de Juárez,West
73,53237,Naucalpan de Juárez,West
74,53239,Naucalpan de Juárez,West
75,53240,Naucalpan de Juárez,West
76,53247,Naucalpan de Juárez,West
77,53248,Naucalpan de Juárez,West
78,53250,Naucalpan de Juárez,West
79,53260,Naucalpan de Juárez,West
80,53270,Naucalpan de Juárez,West
81,53278,Naucalpan de Juárez,West
82,53279,Naucalpan de Juárez,West
83,53280,Naucalpan de Juárez,West
84,53283,Naucalpan de Juárez,West
85,53290,Naucalpan de Juárez,West
86,53296,Naucalpan de Juárez,West
87,53297,Naucalpan de Juárez,West
88,53298,Naucalpan de Juárez,West
89,53300,Naucalpan de Juárez,West
90,53309,Naucalpan de Juárez,West
91,53310,Naucalpan de Juárez,West
92,53320,Naucalpan de Juárez,West
93,53329,Naucalpan de Juárez,West
94,53330,Naucalpan de Juárez,West
95,53338,Naucalpan de Juárez,West
96,53339,Naucalpan de Juárez,West
97,53340,Naucalpan de Juárez,West
98,53348,Naucalpan de Juárez,West
99,53350,Naucalpan de Juárez,West
100,53370,Naucalpan de Juárez,West
101,53378,Naucalpan de Juárez,West
102,53390,Naucalpan de Juárez,West
103,53398,Naucalpan de Juárez,West
104,53400,Naucalpan de Juárez,West
105,53410,Naucalpan de Juárez,West
106,53420,Naucalpan de Juárez,West
107,53425,Naucalpan de Juárez,West
108,53426,Naucalpan de Juárez,West
109,53427,Naucalpan de Juárez,West
110,53428,Naucalpan de Juárez,West
111,53430,Naucalpan de Juárez,West
112,53440,Naucalpan de Juárez,West
113,53450,Naucalpan de Juárez,West
114,53458,Naucalpan de Juárez,West
115,53459,Naucalpan de Juárez,West
116,53460,Naucalpan de Juárez,West
117,53470,Naucalpan de Juárez,West
118,53489,Naucalpan de Juárez,West
119,53490,Naucalpan de Juárez,West
120,53500,Naucalpan de Juárez,West
121,53519,Naucalpan de Juárez,West
122,53520,Naucalpan de Juárez,West
123,53529,Naucalpan de Juárez,West
124,53530,Naucalpan de Juárez,West
125,53533,Naucalpan de Juárez,West
126,53550,Naucalpan de Juárez,West
127,53560,Naucalpan de Juárez,West
128,53569,Naucalpan de Juárez,West
129,53570,Naucalpan de Juárez,West
130,53580,Naucalpan de Juárez,West
131,53598,Naucalpan de Juárez,West
132,53640,Naucalpan de Juárez,West
133,53650,Naucalpan de Juárez,West
134,53653,Naucalpan de Juárez,West
135,53654,Naucalpan de Juárez,West
136,53655,Naucalpan de Juárez,West
137,53658,Naucalpan de Juárez,West
138,53659,Naucalpan de Juárez,West
139,53660,Naucalpan de Juárez,West
140,53664,Naucalpan de Juárez,West
141,53670,Naucalpan de Juárez,West
142,53680,Naucalpan de Juárez,West
143,53687,Naucalpan de Juárez,West
144,53688,Naucalpan de Juárez,West
145,53689,Naucalpan de Juárez,West
146,53690,Naucalpan de Juárez,West
147,53694,Naucalpan de Juárez,West
148,53695,Naucalpan de Juárez,West
149,53696,Naucalpan de Juárez,West
150,53697,Naucalpan de Juárez,West
151,53698,Naucalpan de Juárez,West
152,53700,Naucalpan de Juárez,West
153,53708,Naucalpan de Juárez,West
154,53710,Naucalpan de Juárez,West
155,53713,Naucalpan de Juárez,West
156,53714,Naucalpan de Juárez,West
157,53716,Naucalpan de Juárez,West
158,53717,Naucalpan de Juárez,West
159,53718,Naucalpan de Juárez,West
160,53719,Naucalpan de Juárez,West
161,53730,Naucalpan de Juárez,West
162,53760,Naucalpan de Juárez,West
163,53770,Naucalpan de Juárez,West
164,53780,Naucalpan de Juárez,West
165,53787,Naucalpan de Juárez,West
166,53788,Naucalpan de Juárez,West
167,53790,Naucalpan de Juárez,West
168,53798,Naucalpan de Juárez,West
169,53799,Naucalpan de Juárez,West
170,53800,Naucalpan de Juárez,West
171,53809,Naucalpan de Juárez,West
172,53810,Naucalpan de Juárez,West
